,POLY
Daphnet/S01R02E0.test.csv@6.out,0.10030928799970712
Daphnet/S03R03E4.test.csv@6.out,0.11539394962300363
Daphnet/S03R02E0.test.csv@4.out,0.503629302406546
Daphnet/S03R01E1.test.csv@8.out,0.492337823902194
Daphnet/S09R01E2.test.csv@8.out,0.39705413555177194
Daphnet/S03R02E0.test.csv@6.out,0.5165221092809992
Daphnet/S03R02E0.test.csv@7.out,0.6433049876919923
Daphnet/S03R03E4.test.csv@4.out,0.08039776952167803
Daphnet/S01R02E0.test.csv@4.out,0.05368587036706071
Daphnet/S03R02E0.test.csv@3.out,0.39890120113620015
Daphnet/S03R02E0.test.csv@2.out,0.4869416671523263
Daphnet/S03R03E4.test.csv@1.out,0.15018569524339018
Daphnet/S03R01E0.test.csv@8.out,0.367049186318479
Daphnet/S01R02E0.test.csv@1.out,0.04637239599588982
Daphnet/S03R03E4.test.csv@3.out,0.07279292316553979
Daphnet/S03R02E0.test.csv@1.out,0.43602227364019
Daphnet/S03R03E4.test.csv@2.out,0.1048952519379215
Daphnet/S09R01E0.test.csv@8.out,0.0361077673172057
Daphnet/S09R01E0.test.csv@9.out,0.03605388531320491
Daphnet/S06R01E2.test.csv@5.out,0.0017996525062528813
Daphnet/S09R01E0.test.csv@7.out,0.036209860598840876
Daphnet/S09R01E0.test.csv@6.out,0.03675349272702146
Daphnet/S09R01E0.test.csv@4.out,0.03212443651368219
Daphnet/S09R01E0.test.csv@5.out,0.03248295585861436
Daphnet/S08R01E0.test.csv@4.out,0.14558118763372893
Daphnet/S09R01E0.test.csv@1.out,0.04171054766725762
Daphnet/S09R01E0.test.csv@2.out,0.04462205443917922
Daphnet/S03R01E1.test.csv@2.out,0.48681497980558536
Daphnet/S03R01E0.test.csv@6.out,0.36372754926673795
Daphnet/S09R01E4.test.csv@4.out,0.08039776952167803
Daphnet/S02R01E0.test.csv@6.out,0.197523672501231
Daphnet/S03R01E1.test.csv@1.out,0.4494893937770906
Daphnet/S02R01E0.test.csv@4.out,0.2723331218406195
Daphnet/S09R01E4.test.csv@6.out,0.11539394962300363
Daphnet/S03R01E0.test.csv@4.out,0.3458797892217774
Daphnet/S03R01E1.test.csv@4.out,0.5255705688713027
Daphnet/S09R01E2.test.csv@4.out,0.3422666226573728
Daphnet/S09R01E4.test.csv@3.out,0.07279292316553979
Daphnet/S09R01E4.test.csv@2.out,0.1048952519379215
Daphnet/S03R01E1.test.csv@7.out,0.560477381154426
Daphnet/S03R01E0.test.csv@3.out,0.35131305306562804
Daphnet/S03R02E0.test.csv@9.out,0.4885097622673452
Daphnet/S03R02E0.test.csv@8.out,0.5466351585615188
Daphnet/S09R01E4.test.csv@1.out,0.15018569524339018
Daphnet/S02R01E0.test.csv@3.out,0.3225602198248589
Dodgers/101-freeway-traffic.test.out,0.146182147825454
ECG/MBA_ECG14046_data_27.out,0.21550338075156628
ECG/MBA_ECG14046_data_33.out,0.3072354627525364
ECG/MBA_ECG14046_data_32.out,0.3086736846153039
ECG/MBA_ECG14046_data_26.out,0.34228216976681636
ECG/MBA_ECG14046_data_30.out,0.4929220360706402
ECG/MBA_ECG14046_data_24.out,0.2968719659534354
ECG/MBA_ECG820_data.out,0.05836311115053398
ECG/MBA_ECG14046_data_18.out,0.33329122601161393
ECG/MBA_ECG14046_data_19.out,0.4446873425236197
ECG/MBA_ECG14046_data_25.out,0.2595934576359272
ECG/MBA_ECG14046_data_31.out,0.2708494648770298
ECG/MBA_ECG14046_data_35.out,0.2616380670697944
ECG/MBA_ECG14046_data_21.out,0.4223315523089069
ECG/MBA_ECG803_data.out,0.3997161408205418
