,LOF
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.998314637992112
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.5577783385946696
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.9709555877302266
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.4786910634501751
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.7786971302413518
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.9997776790845916
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.996262813604351
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.5067213622557414
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.2306003460874006
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.6908993888322992
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0.975610814982587
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,0.9995923035108052
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.9796199859254048
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.6229024284001338
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.9997860242183372
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.762508083846086
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.9986165781374228
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.8169574776256828
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.9999632340653096
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.9993046820678286
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.3847134771352928
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.9891244179325838
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.4371500090273854
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.4299512063602706
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.9739339656903586
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.99998260637561
KDD21/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0.9918747496327948
KDD21/086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.out,0.3448062546238825
KDD21/053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.out,0.369722264716065
KDD21/160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.out,0.9954560020100464
KDD21/065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.out,0.988834837846874
KDD21/146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.out,0.9927694080410034
KDD21/145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260.out,0.9999993322203672
KDD21/051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.out,0.9960534411532038
KDD21/227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.out,0.9870063005692472
KDD21/023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.out,0.3235174766385358
KDD21/249_UCR_Anomaly_weallwalk_2753_8285_8315.out,0.7958940881222402
KDD21/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.out,0.9930392380517852
KDD21/109_UCR_Anomaly_1sddb40_35000_52000_52620.out,0.4109538444112884
KDD21/174_UCR_Anomaly_insectEPG2_3700_8000_8025.out,0.9997412755716004
KDD21/182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.out,0.6939497191011236
KDD21/102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.out,0.9841418938219212
KDD21/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.out,0.5243085529067336
KDD21/229_UCR_Anomaly_mit14134longtermecg_16363_57960_57970.out,0.6325069080676058
