,LSTM
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.8985955490867723
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.5257071909921216
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.6058317900714951
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.4292437466993628
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.4243529550535416
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.7975393176237003
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.6043468507982657
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.410739207874788
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.5980286142666185
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.6344214742105752
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0.9161370117964308
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,0.9999948717422744
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.5070956067155927
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.4971742924192083
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.752729354128058
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.4515143014253636
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.854498651331353
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.4988312155819674
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.8944004367347393
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.9999726560363752
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.6722593234827008
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.6586774664936368
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.7355653622441816
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.3281659970145131
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.7215562459311131
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.8565232248497939
KDD21/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0.97910268393644
KDD21/086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.out,0.6134126572120027
KDD21/053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.out,0.4874474306433388
KDD21/160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.out,0.5617042427641055
KDD21/065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.out,0.5188197927114677
KDD21/146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.out,0.5707262147805673
KDD21/145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260.out,0.526134223706177
KDD21/051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.out,0.7638305352904984
KDD21/227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.out,0.684663434739278
KDD21/023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.out,0.6130597859475538
KDD21/249_UCR_Anomaly_weallwalk_2753_8285_8315.out,0.7112884780329743
KDD21/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.out,0.4923805178510323
KDD21/109_UCR_Anomaly_1sddb40_35000_52000_52620.out,0.6459863717887185
KDD21/174_UCR_Anomaly_insectEPG2_3700_8000_8025.out,0.7735780184516646
KDD21/182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.out,0.564098279494382
KDD21/102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.out,0.3620891312331674
KDD21/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.out,0.5710928063571727
KDD21/229_UCR_Anomaly_mit14134longtermecg_16363_57960_57970.out,0.7816915018054214
KDD21/121_UCR_Anomaly_ECG3_15000_16000_16100.out,0.4665769758185892
KDD21/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.out,0.919773018794267
KDD21/034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.out,0.4230082860805892
KDD21/134_UCR_Anomaly_InternalBleeding15_1700_5684_5854.out,0.5462750376058902
KDD21/181_UCR_Anomaly_park3m_60000_72150_72495.out,0.5297744501162763
KDD21/089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.out,0.6322352587918159
KDD21/044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821.out,0.4773895408335666
