,CNN
Daphnet/S01R02E0.test.csv@6.out,0.047434412158927144
Daphnet/S03R03E4.test.csv@6.out,0.019492435809173255
Daphnet/S03R02E0.test.csv@4.out,0.11392192561115165
Daphnet/S03R01E1.test.csv@8.out,0.170616056293595
Daphnet/S09R01E2.test.csv@8.out,0.15363419237843134
Daphnet/S03R02E0.test.csv@6.out,0.12226766827111013
Daphnet/S03R02E0.test.csv@7.out,0.11444414286594216
Daphnet/S03R03E4.test.csv@4.out,0.021328159421095852
Daphnet/S01R02E0.test.csv@4.out,0.05808493052342041
Daphnet/S03R02E0.test.csv@3.out,0.10972107433603635
Daphnet/S03R02E0.test.csv@2.out,0.12056369366358023
Daphnet/S03R03E4.test.csv@1.out,0.019026341363572005
Daphnet/S03R01E0.test.csv@8.out,0.12936781292010535
Daphnet/S01R02E0.test.csv@1.out,0.05781410393359008
Daphnet/S03R03E4.test.csv@3.out,0.023972289032393276
Daphnet/S03R02E0.test.csv@1.out,0.10461933933141111
Daphnet/S03R03E4.test.csv@2.out,0.022289262236703314
Daphnet/S09R01E0.test.csv@8.out,0.05001340844413422
Daphnet/S09R01E0.test.csv@9.out,0.035059917795669644
Daphnet/S06R01E2.test.csv@5.out,0.0027923839743133993
Daphnet/S09R01E0.test.csv@7.out,0.03906823104841509
Daphnet/S09R01E0.test.csv@6.out,0.03463583417151732
Daphnet/S09R01E0.test.csv@4.out,0.03107702557425048
Daphnet/S09R01E0.test.csv@5.out,0.039797034608287714
Daphnet/S08R01E0.test.csv@4.out,0.16794086947975229
Daphnet/S09R01E0.test.csv@1.out,0.04002283025659718
Daphnet/S09R01E0.test.csv@2.out,0.032737701921370904
Daphnet/S03R01E1.test.csv@2.out,0.165529314964887
Daphnet/S03R01E0.test.csv@6.out,0.12895411668142626
Daphnet/S09R01E4.test.csv@4.out,0.021710742191476496
Daphnet/S02R01E0.test.csv@6.out,0.13885303284755812
Daphnet/S03R01E1.test.csv@1.out,0.16807492741854121
Daphnet/S02R01E0.test.csv@4.out,0.14644867685765084
Daphnet/S09R01E4.test.csv@6.out,0.02007152580660748
Daphnet/S03R01E0.test.csv@4.out,0.11137983260099621
Daphnet/S03R01E1.test.csv@4.out,0.16464938005655397
Daphnet/S09R01E2.test.csv@4.out,0.15086870697233562
Daphnet/S09R01E4.test.csv@3.out,0.02358791685107404
Daphnet/S09R01E4.test.csv@2.out,0.02395789817158658
Daphnet/S03R01E1.test.csv@7.out,0.15764725042870537
Daphnet/S03R01E0.test.csv@3.out,0.12321646757672901
Daphnet/S03R02E0.test.csv@9.out,0.14093533049160137
Daphnet/S03R02E0.test.csv@8.out,0.12666289639049658
Daphnet/S09R01E4.test.csv@1.out,0.02021725297835976
Daphnet/S02R01E0.test.csv@3.out,0.13001459912994603
Dodgers/101-freeway-traffic.test.out,0.16163791947790473
ECG/MBA_ECG14046_data_27.out,0.049709855035902466
ECG/MBA_ECG14046_data_33.out,0.4633753998153968
ECG/MBA_ECG14046_data_32.out,0.2995015543820085
ECG/MBA_ECG14046_data_26.out,0.12998700774014382
ECG/MBA_ECG14046_data_30.out,0.23837478712444635
ECG/MBA_ECG14046_data_24.out,0.08116507952832985
ECG/MBA_ECG820_data.out,0.06524312084377272
ECG/MBA_ECG14046_data_18.out,0.05326851345986377
ECG/MBA_ECG14046_data_19.out,0.09335316626279401
ECG/MBA_ECG14046_data_25.out,0.3789474050101468
ECG/MBA_ECG14046_data_31.out,0.08334310881838801
ECG/MBA_ECG14046_data_35.out,0.11961885834159029
ECG/MBA_ECG14046_data_21.out,0.2713176165593923
ECG/MBA_ECG803_data.out,0.08684954128530936
ECG/MBA_ECG14046_data_20.out,0.10535627404754964
ECG/MBA_ECG14046_data_34.out,0.08307363957831572
ECG/MBA_ECG14046_data_22.out,0.08407774521592332
ECG/MBA_ECG14046_data_36.out,0.10813500772210012
ECG/MBA_ECG14046_data_37.out,0.382923311031438
ECG/MBA_ECG14046_data_23.out,0.09807660360740765
ECG/MBA_ECG14046_data_44.out,0.12441096361167786
ECG/MBA_ECG805_data.out,0.08658541780988509
ECG/MBA_ECG14046_data_45.out,0.1105710249217136
ECG/MBA_ECG14046_data_46.out,0.043611523935583006
ECG/MBA_ECG14046_data_42.out,0.21849147624231896
ECG/MBA_ECG14046_data_43.out,0.2540042637648003
ECG/MBA_ECG14046_data_41.out,0.38090232437893495
ECG/MBA_ECG14046_data_8.out,0.07382207509674468
ECG/MBA_ECG14046_data_9.out,0.10860626390073906
ECG/MBA_ECG14046_data_40.out,0.12001524821780879
ECG/MBA_ECG14046_data_4.out,0.18353295719832594
ECG/MBA_ECG14046_data_5.out,0.1677157071894783
ECG/MBA_ECG14046_data_7.out,0.10796884447649124
ECG/MBA_ECG801_data.out,0.10284357118101134
ECG/MBA_ECG14046_data_6.out,0.15664591432004
ECG/MBA_ECG14046_data_2.out,0.1282400088013344
ECG/MBA_ECG14046_data_3.out,0.5446281383050643
ECG/MBA_ECG14046_data_1.out,0.19833042062093406
ECG/MBA_ECG14046_data_0.out,0.2475826671160496
ECG/MBA_ECG14046_data_12.out,0.05786404099360551
ECG/MBA_ECG14046_data_13.out,0.5027002812158711
ECG/MBA_ECG14046_data_11.out,0.44715506886028034
ECG/MBA_ECG14046_data_39.out,0.10432716933845575
ECG/MBA_ECG14046_data_38.out,0.15821556799409217
ECG/MBA_ECG14046_data_10.out,0.6147441663736652
ECG/MBA_ECG14046_data_28.out,0.08216217154194436
ECG/MBA_ECG14046_data_14.out,0.1036076078468812
ECG/MBA_ECG14046_data_15.out,0.10643002650738652
ECG/MBA_ECG14046_data_29.out,0.1317200516007402
ECG/MBA_ECG14046_data_17.out,0.07289723508696364
ECG/MBA_ECG806_data.out,0.08190236324969496
ECG/MBA_ECG14046_data_16.out,0.1032621067592773
Genesis/genesis-anomalies.test.csv@1.out,0.01698410154780864
Genesis/genesis-anomalies.test.csv@3.out,0.02850797407077187
Genesis/genesis-anomalies.test.csv@6.out,0.002373281677632805
Genesis/genesis-anomalies.test.csv@5.out,0.007537148896162423
Genesis/genesis-anomalies.test.csv@17.out,0.0020962866817004545
Genesis/genesis-anomalies.test.csv@13.out,0.008170782631532363
GHL/07_Lev_fault_Temp_corr_seed_31_vars_23.test.csv@2.out,0.0003678465225378375
GHL/04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@10.out,0.0004898998125012136
GHL/13_Lev_fault_Temp_corr_seed_666_vars_23.test.csv@4.out,0.000500148454439125
GHL/12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@10.out,0.0005064935344543066
GHL/06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@10.out,0.000516548097731634
GHL/15_Lev_fault_Temp_corr_seed_49_vars_23.test.csv@1.out,0.002864248359778367
GHL/11_Lev_fault_Temp_corr_seed_41_vars_23.test.csv@1.out,0.0027072887371952068
GHL/02_Lev_fault_Temp_corr_seed_17_vars_23.test.csv@8.out,0.000528985701956862
GHL/08_Lev_fault_Temp_corr_seed_33_vars_23.test.csv@2.out,0.0003678465225378375
GHL/06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@8.out,0.00047122688278476395
GHL/04_Lev_fault_Temp_corr_seed_23_vars_23.test.csv@13.out,0.0003995067229881619
GHL/12_Lev_fault_Temp_corr_seed_43_vars_23.test.csv@13.out,0.00047431039634977784
GHL/06_Lev_fault_Temp_corr_seed_29_vars_23.test.csv@13.out,0.0018871329744287936
GHL/05_Lev_fault_Temp_corr_seed_27_vars_23.test.csv@8.out,0.0005063470625196212
GHL/40_Lev_corr_Temp_fault_seed_180_vars_23.test.csv@3.out,0.007973582501951203
