,MP
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.1217048269324498
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.717063458167937
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.7011963087083241
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.0015758078084542
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.0011773903549828
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.4112154333786371
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.9973421589151216
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.8636873886862927
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.5178502804636248
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.4142297128039502
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,4.9180614251467006e-05
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,2.591479216336685e-05
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.2607796842758218
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.359195824570385
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.9068733773002066
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.0859657226961302
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.9870605050519335
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.0081584771251684
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.8144814822576197
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.0045454545454545
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.3152653507245918
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.109604988987977
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.2418247802923904
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.13975282780457
