,NORMA
Daphnet/S01R02E0.test.csv@6.out,0.16662940578642885
Daphnet/S03R03E4.test.csv@6.out,0.01567995605983569
Daphnet/S03R02E0.test.csv@4.out,0.08569342463074438
Daphnet/S03R01E1.test.csv@8.out,0.14086031506152727
Daphnet/S09R01E2.test.csv@8.out,0.12514273880507998
Daphnet/S03R02E0.test.csv@6.out,0.08505594241417942
Daphnet/S03R02E0.test.csv@7.out,0.0771097945148937
Daphnet/S03R03E4.test.csv@4.out,0.020449782075070703
Daphnet/S01R02E0.test.csv@4.out,0.19806482221068816
Daphnet/S03R02E0.test.csv@3.out,0.11726860454115186
Daphnet/S03R02E0.test.csv@2.out,0.08286125950546923
Daphnet/S03R03E4.test.csv@1.out,0.025849073473780574
Daphnet/S03R01E0.test.csv@8.out,0.09031978487097293
Daphnet/S01R02E0.test.csv@1.out,0.10918016668919468
Daphnet/S03R03E4.test.csv@3.out,0.030628727841119106
Daphnet/S03R02E0.test.csv@1.out,0.10824903372113161
Daphnet/S03R03E4.test.csv@2.out,0.01841729680427256
Daphnet/S09R01E0.test.csv@8.out,0.09826312947037152
Daphnet/S09R01E0.test.csv@9.out,0.11968513108179056
Daphnet/S06R01E2.test.csv@5.out,0.004038335032907883
Daphnet/S09R01E0.test.csv@7.out,0.08449893649278421
Daphnet/S09R01E0.test.csv@6.out,0.10347089571125286
Daphnet/S09R01E0.test.csv@4.out,0.10410514233195559
Daphnet/S09R01E0.test.csv@5.out,0.10341391890895744
Daphnet/S08R01E0.test.csv@4.out,0.30880718714399435
Daphnet/S09R01E0.test.csv@1.out,0.09767355434924942
Daphnet/S09R01E0.test.csv@2.out,0.09802811950759828
Daphnet/S03R01E1.test.csv@2.out,0.13315228116318825
Daphnet/S03R01E0.test.csv@6.out,0.09772740761714171
Daphnet/S09R01E4.test.csv@4.out,0.02165868747547225
Daphnet/S02R01E0.test.csv@6.out,0.27552272667214933
Daphnet/S03R01E1.test.csv@1.out,0.1389277009194666
Daphnet/S02R01E0.test.csv@4.out,0.2303831549450319
Daphnet/S09R01E4.test.csv@6.out,0.015471561585810574
Daphnet/S03R01E0.test.csv@4.out,0.09559586862062962
Daphnet/S03R01E1.test.csv@4.out,0.1332786011431958
Daphnet/S09R01E2.test.csv@4.out,0.13271307941876798
Daphnet/S09R01E4.test.csv@3.out,0.029139159359488555
Daphnet/S09R01E4.test.csv@2.out,0.01956946197214351
Daphnet/S03R01E1.test.csv@7.out,0.13266265416722903
Daphnet/S03R01E0.test.csv@3.out,0.09524783508599151
Daphnet/S03R02E0.test.csv@9.out,0.09301544418370887
Daphnet/S03R02E0.test.csv@8.out,0.08400832702685022
Daphnet/S09R01E4.test.csv@1.out,0.02016602134702318
Daphnet/S02R01E0.test.csv@3.out,0.26614792240951707
Dodgers/101-freeway-traffic.test.out,0.2857921413838654
ECG/MBA_ECG14046_data_27.out,0.7467050265774432
ECG/MBA_ECG14046_data_33.out,0.7344149392537989
ECG/MBA_ECG14046_data_32.out,0.797410788822203
ECG/MBA_ECG14046_data_26.out,0.690100196017683
ECG/MBA_ECG14046_data_30.out,0.7867827248504998
ECG/MBA_ECG14046_data_24.out,0.7483798203015906
ECG/MBA_ECG820_data.out,0.6203195042702837
ECG/MBA_ECG14046_data_18.out,0.21206785806119813
ECG/MBA_ECG14046_data_19.out,0.8307923743217227
ECG/MBA_ECG14046_data_25.out,0.44617096613607143
ECG/MBA_ECG14046_data_31.out,0.6141628634308417
ECG/MBA_ECG14046_data_35.out,0.7119230669737582
ECG/MBA_ECG14046_data_21.out,0.8470975521356002
ECG/MBA_ECG803_data.out,0.9205723222032962
ECG/MBA_ECG14046_data_20.out,0.8469675565308598
ECG/MBA_ECG14046_data_34.out,0.4321504904627629
ECG/MBA_ECG14046_data_22.out,0.4740169636719119
ECG/MBA_ECG14046_data_36.out,0.5071383585087078
ECG/MBA_ECG14046_data_37.out,0.4485311865932291
ECG/MBA_ECG14046_data_23.out,0.7173552710880823
ECG/MBA_ECG14046_data_44.out,0.7554493853096144
ECG/MBA_ECG805_data.out,0.8011710668014903
ECG/MBA_ECG14046_data_45.out,0.5512123739564129
ECG/MBA_ECG14046_data_46.out,0.6073369475756633
ECG/MBA_ECG14046_data_42.out,0.16573292182307503
ECG/MBA_ECG14046_data_43.out,0.7301919506632342
ECG/MBA_ECG14046_data_41.out,0.40585094542880645
ECG/MBA_ECG14046_data_8.out,0.6693980295522515
ECG/MBA_ECG14046_data_9.out,0.7274990831892133
ECG/MBA_ECG14046_data_40.out,0.6068598701167012
ECG/MBA_ECG14046_data_4.out,0.30507355207922726
