,NORMA
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.8273662990334466
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.979185289977997
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.962824954824517
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.1562016994438852
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.2647092313963844
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.9349312921260254
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.9997800696759316
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.9973868300363968
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.999987160813662
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.8977822020557459
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0.4496567921389435
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,0.4144452763618088
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.9481260681612548
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.4642464309833166
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.9874884639143798
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.8745703614239486
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.9998713521317744
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.5850963366048054
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.999824526220796
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,0.7101461730169767
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.8917631399033733
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.9888915000890596
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.9999946110105334
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.0737058506335939
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.9934950937235418
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.6603613153479495
KDD21/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0.999492589130725
KDD21/086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.out,0.9997558590076364
KDD21/053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.out,0.5824376078560828
KDD21/160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.out,0.9992749084645902
KDD21/065_UCR_Anomaly_DISTORTEDinsectEPG1_3000_7000_7030.out,0.9942594450016716
KDD21/146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.out,0.99961774394821
KDD21/145_UCR_Anomaly_Lab2Cmac011215EPG1_5000_17210_17260.out,0.9805025041736228
KDD21/051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.out,0.9998769447130176
KDD21/227_UCR_Anomaly_mit14134longtermecg_11231_29000_29100.out,0.931575311227851
KDD21/023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.out,0.9996754454036926
KDD21/249_UCR_Anomaly_weallwalk_2753_8285_8315.out,0.8348756313732965
KDD21/127_UCR_Anomaly_GP711MarkerLFM5z1_5000_6168_6212.out,0.9998764305539716
KDD21/109_UCR_Anomaly_1sddb40_35000_52000_52620.out,0.8808449254683641
KDD21/174_UCR_Anomaly_insectEPG2_3700_8000_8025.out,0.9899398315282792
KDD21/182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.out,0.98707889747191
KDD21/102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.out,0.6630891414347507
KDD21/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.out,0.9251738812212464
KDD21/229_UCR_Anomaly_mit14134longtermecg_16363_57960_57970.out,0.3674998728576514
KDD21/121_UCR_Anomaly_ECG3_15000_16000_16100.out,0.9998901301046856
KDD21/129_UCR_Anomaly_GP711MarkerLFM5z3_5000_5948_5993.out,0.9999944230661982
KDD21/034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.out,0.9901220970753492
KDD21/134_UCR_Anomaly_InternalBleeding15_1700_5684_5854.out,0.9939090333306944
