,OCSVM
KDD21/111_UCR_Anomaly_3sddb40_35000_46600_46900.out,0.0019327605944986
KDD21/032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.out,0.1699312831439031
KDD21/119_UCR_Anomaly_ECG1_10000_11800_12100.out,0.0266377800057732
KDD21/214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.out,0.003036774976194
KDD21/213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.out,0.0132851870937493
KDD21/056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211.out,0.0017665670926826
KDD21/085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.out,0.1043031376833918
KDD21/142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.out,0.572826385090309
KDD21/022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4_4000_6527_6645.out,0.0106920531921525
KDD21/094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.out,0.0487497765691682
KDD21/239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,5.5406255830110607e-05
KDD21/077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.out,3.0367446097783177e-05
KDD21/175_UCR_Anomaly_insectEPG3_5200_7000_7050.out,0.0025280855194587
KDD21/241_UCR_Anomaly_taichidbS0715Master_250000_837400_839100.out,0.0009731816247134
KDD21/155_UCR_Anomaly_PowerDemand4_18000_24005_24077.out,0.0013051074063983
KDD21/035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.out,0.0137767643260439
KDD21/136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.out,0.0075007812638401
KDD21/076_UCR_Anomaly_DISTORTEDresperation10_48000_130700_131880.out,0.0366419736102208
KDD21/147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0.005767594851202
KDD21/200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,3.957700101317123e-06
KDD21/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.out,0.4976730298728734
KDD21/209_UCR_Anomaly_Fantasia_19000_26970_27270.out,0.0018421067449594
KDD21/198_UCR_Anomaly_tiltAPB2_50000_124159_124985.out,0.0077334701820903
KDD21/144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.out,0.0266564827015546
KDD21/238_UCR_Anomaly_mit14157longtermecg_21311_72600_72780.out,0.0235317047098834
KDD21/083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.out,0.0004454926353249
KDD21/030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0.0057588791270972
