,OCSVM
Daphnet/S01R02E0.test.csv@6.out,0.3449827134459557
Daphnet/S03R03E4.test.csv@6.out,0.6169427200570595
Daphnet/S03R02E0.test.csv@4.out,0.5185292619259264
Daphnet/S03R01E1.test.csv@8.out,0.509457593391694
Daphnet/S09R01E2.test.csv@8.out,0.36931091355500406
Daphnet/S03R02E0.test.csv@6.out,0.5791721893967628
Daphnet/S03R02E0.test.csv@7.out,0.5959670638255081
Daphnet/S03R03E4.test.csv@4.out,0.5728654810595804
Daphnet/S01R02E0.test.csv@4.out,0.5046997206984024
Daphnet/S03R02E0.test.csv@3.out,0.23247224479577103
Daphnet/S03R02E0.test.csv@2.out,0.5137623839348303
Daphnet/S03R03E4.test.csv@1.out,0.12004672775948032
Daphnet/S03R01E0.test.csv@8.out,0.5402649383059711
Daphnet/S01R02E0.test.csv@1.out,0.3614920144516536
Daphnet/S03R03E4.test.csv@3.out,0.3074684368593868
Daphnet/S03R02E0.test.csv@1.out,0.5860038611041198
Daphnet/S03R03E4.test.csv@2.out,0.4433508174763249
Daphnet/S09R01E0.test.csv@8.out,0.236166898774555
Daphnet/S09R01E0.test.csv@9.out,0.3346118942660108
Daphnet/S06R01E2.test.csv@5.out,0.28429601922143094
Daphnet/S09R01E0.test.csv@7.out,0.6515633347909492
Daphnet/S09R01E0.test.csv@6.out,0.5350325738502462
Daphnet/S09R01E0.test.csv@4.out,0.47955118319815193
Daphnet/S09R01E0.test.csv@5.out,0.5189627775374631
Daphnet/S08R01E0.test.csv@4.out,0.5521152171512801
Daphnet/S09R01E0.test.csv@1.out,0.47193698508932375
Daphnet/S09R01E0.test.csv@2.out,0.34358960416308704
Daphnet/S03R01E1.test.csv@2.out,0.5599561370306779
Daphnet/S03R01E0.test.csv@6.out,0.4260941326993997
Daphnet/S09R01E4.test.csv@4.out,0.5728654810595804
Daphnet/S02R01E0.test.csv@6.out,0.4090461000177143
Daphnet/S03R01E1.test.csv@1.out,0.3777540692077947
Daphnet/S02R01E0.test.csv@4.out,0.4594350418851102
Daphnet/S09R01E4.test.csv@6.out,0.6169427200570595
Daphnet/S03R01E0.test.csv@4.out,0.46596332014887404
Daphnet/S03R01E1.test.csv@4.out,0.5553833459690349
Daphnet/S09R01E2.test.csv@4.out,0.3343804566303168
Daphnet/S09R01E4.test.csv@3.out,0.3074684368593868
Daphnet/S09R01E4.test.csv@2.out,0.4433508174763249
Daphnet/S03R01E1.test.csv@7.out,0.5360647012751703
Daphnet/S03R01E0.test.csv@3.out,0.3934930334377928
Daphnet/S03R02E0.test.csv@9.out,0.49301161471870353
Daphnet/S03R02E0.test.csv@8.out,0.4952569388523273
Daphnet/S09R01E4.test.csv@1.out,0.12004672775948032
Daphnet/S02R01E0.test.csv@3.out,0.4967342775652393
Dodgers/101-freeway-traffic.test.out,0.39600474007432
ECG/MBA_ECG14046_data_27.out,0.6722782037067564
ECG/MBA_ECG14046_data_33.out,0.8968988825228738
ECG/MBA_ECG14046_data_32.out,0.777159079442418
ECG/MBA_ECG14046_data_26.out,0.8832216607000514
ECG/MBA_ECG14046_data_30.out,0.9704803131631293
ECG/MBA_ECG14046_data_24.out,0.9518303482509864
ECG/MBA_ECG820_data.out,0.4233416873049421
ECG/MBA_ECG14046_data_18.out,0.3535256396828527
