,files,choice
0,OBSEA/2023-03-22.out,5
1,OBSEA/2022-05-16.out,0
2,OBSEA/2022-02-06.out,0
3,OBSEA/2023-02-06.out,0
4,OBSEA/2022-01-27.out,0
5,OBSEA/2022-07-01.out,0
6,OBSEA/2023-03-28.out,5
7,OBSEA/2023-02-24.out,0
8,OBSEA/2023-08-08.out,7
9,OBSEA/2022-09-10.out,7
10,OBSEA/2023-01-02.out,0
11,OBSEA/2022-05-22.out,0
12,OBSEA/2023-04-16.out,0
13,OBSEA/2022-12-28.out,0
14,OBSEA/2023-10-22.out,0
15,OBSEA/2023-10-16.out,0
16,OBSEA/2022-09-09.out,7
17,OBSEA/2022-09-13.out,7
18,OBSEA/2022-05-29.out,3
19,OBSEA/2023-06-16.out,0
20,OBSEA/2022-05-30.out,3
21,OBSEA/2023-07-27.out,7
22,OBSEA/2023-04-15.out,0
23,OBSEA/2023-02-10.out,0
24,OBSEA/2023-03-13.out,0
25,OBSEA/2022-05-02.out,0
26,OBSEA/2022-12-23.out,0
27,OBSEA/2023-07-25.out,7
28,OBSEA/2022-12-29.out,0
29,OBSEA/2022-12-24.out,0
30,OBSEA/2023-05-25.out,3
31,OBSEA/2022-03-01.out,0
32,OBSEA/2022-12-21.out,0
33,OBSEA/2022-05-13.out,0
34,OBSEA/2022-09-07.out,7
35,OBSEA/2022-04-09.out,3
36,OBSEA/2022-03-13.out,0
37,OBSEA/2023-11-06.out,0
38,OBSEA/2023-06-24.out,3
39,OBSEA/2023-04-26.out,0
40,OBSEA/2023-11-07.out,0
41,OBSEA/2023-09-14.out,7
42,OBSEA/2022-09-25.out,7
43,OBSEA/2023-09-26.out,7
44,OBSEA/2022-04-02.out,3
45,OBSEA/2022-09-14.out,7
46,OBSEA/2022-12-18.out,0
47,OBSEA/2023-09-13.out,7
48,OBSEA/2023-08-22.out,7
49,OBSEA/2023-07-22.out,7
50,OBSEA/2022-08-26.out,7
51,OBSEA/2023-06-06.out,3
52,OBSEA/2022-02-20.out,0
53,OBSEA/2022-08-31.out,7
54,OBSEA/2022-03-31.out,3
55,OBSEA/2022-02-11.out,0
56,OBSEA/2023-04-24.out,0
57,OBSEA/2022-07-06.out,4
58,OBSEA/2023-02-28.out,0
59,OBSEA/2022-02-02.out,0
60,OBSEA/2022-08-06.out,7
61,OBSEA/2023-01-28.out,0
62,OBSEA/2023-02-16.out,3
63,OBSEA/2022-01-08.out,4
64,OBSEA/2022-08-21.out,7
65,OBSEA/2023-10-23.out,0
66,OBSEA/2023-09-01.out,7
67,OBSEA/2023-08-28.out,7
68,OBSEA/2023-02-02.out,0
69,OBSEA/2022-04-17.out,3
70,OBSEA/2022-03-11.out,0
71,OBSEA/2022-07-27.out,0
72,OBSEA/2022-08-01.out,7
73,OBSEA/2023-02-12.out,0
74,OBSEA/2022-03-24.out,3
75,OBSEA/2022-09-04.out,7
76,OBSEA/2023-10-08.out,4
77,OBSEA/2022-02-03.out,0
78,OBSEA/2022-05-18.out,0
79,OBSEA/2023-10-06.out,0
80,OBSEA/2022-03-23.out,3
81,OBSEA/2022-07-02.out,4
82,OBSEA/2023-06-02.out,3
83,OBSEA/2023-01-30.out,0
84,OBSEA/2022-01-16.out,4
85,OBSEA/2023-10-09.out,4
86,OBSEA/2023-02-13.out,0
87,OBSEA/2023-10-04.out,0
88,OBSEA/2022-08-03.out,7
89,OBSEA/2022-12-26.out,0
90,OBSEA/2022-06-01.out,3
91,OBSEA/2022-03-02.out,0
92,OBSEA/2022-04-30.out,0
93,OBSEA/2022-01-15.out,4
94,OBSEA/2023-06-11.out,0
95,OBSEA/2022-05-31.out,3
96,OBSEA/2022-09-02.out,7
97,OBSEA/2023-05-22.out,3
98,OBSEA/2023-06-20.out,0
99,OBSEA/2022-04-27.out,3
100,OBSEA/2023-06-23.out,3
101,OBSEA/2023-05-17.out,4
102,OBSEA/2022-08-27.out,7
103,OBSEA/2022-03-04.out,0
104,OBSEA/2022-08-19.out,7
105,OBSEA/2022-04-15.out,3
106,OBSEA/2022-04-11.out,3
107,OBSEA/2023-05-15.out,4
108,OBSEA/2022-02-08.out,0
109,OBSEA/2023-10-10.out,4
110,OBSEA/2023-01-26.out,0
111,OBSEA/2023-11-05.out,0
112,OBSEA/2022-12-17.out,0
113,OBSEA/2022-05-09.out,0
114,OBSEA/2022-03-25.out,3
115,OBSEA/2023-02-15.out,3
116,OBSEA/2022-03-09.out,0
117,OBSEA/2022-04-25.out,3
118,OBSEA/2023-03-27.out,5
119,OBSEA/2023-07-15.out,0
120,OBSEA/2023-03-20.out,0
121,OBSEA/2023-09-21.out,0
122,OBSEA/2022-07-13.out,7
123,OBSEA/2023-06-04.out,3
124,OBSEA/2023-06-14.out,5
125,OBSEA/2023-02-03.out,0
126,OBSEA/2022-05-10.out,0
127,OBSEA/2023-05-29.out,3
128,OBSEA/2022-08-09.out,7
129,OBSEA/2022-01-31.out,0
130,OBSEA/2023-04-10.out,0
131,OBSEA/2022-06-05.out,3
132,OBSEA/2023-07-28.out,7
133,OBSEA/2022-12-22.out,0
134,OBSEA/2023-03-29.out,5
135,OBSEA/2022-02-12.out,0
136,OBSEA/2022-04-21.out,3
137,OBSEA/2022-12-27.out,0
138,OBSEA/2022-03-08.out,0
139,OBSEA/2023-08-01.out,7
140,OBSEA/2022-01-03.out,4
141,OBSEA/2023-01-27.out,0
142,OBSEA/2023-07-19.out,7
143,OBSEA/2023-07-26.out,7
144,OBSEA/2022-01-09.out,4
145,OBSEA/2023-10-19.out,0
146,OBSEA/2022-03-12.out,0
147,OBSEA/2023-06-27.out,4
148,OBSEA/2023-10-02.out,1
149,OBSEA/2023-05-18.out,4
150,OBSEA/2023-07-31.out,7
151,OBSEA/2023-03-17.out,0
152,OBSEA/2022-08-04.out,7
153,OBSEA/2022-08-23.out,7
154,OBSEA/2023-03-23.out,5
155,OBSEA/2022-08-11.out,7
156,OBSEA/2022-08-30.out,7
157,OBSEA/2023-07-30.out,7
158,OBSEA/2022-09-06.out,7
159,OBSEA/2023-04-06.out,5
160,OBSEA/2023-09-17.out,7
161,OBSEA/2023-01-23.out,0
162,OBSEA/2022-10-07.out,7
163,OBSEA/2023-07-10.out,0
164,OBSEA/2022-08-05.out,7
165,OBSEA/2022-03-27.out,3
166,OBSEA/2023-06-03.out,3
167,OBSEA/2023-02-22.out,3
168,OBSEA/2023-02-04.out,0
169,OBSEA/2023-05-31.out,3
170,OBSEA/2022-10-09.out,7
171,OBSEA/2023-06-28.out,4
172,OBSEA/2023-03-25.out,5
173,OBSEA/2023-05-10.out,3
174,OBSEA/2022-09-21.out,7
175,OBSEA/2022-08-14.out,0
176,OBSEA/2022-07-28.out,7
177,OBSEA/2023-05-06.out,3
178,OBSEA/2022-05-17.out,0
179,OBSEA/2023-11-01.out,0
180,OBSEA/2023-02-09.out,3
181,OBSEA/2022-04-22.out,3
182,OBSEA/2023-08-18.out,7
183,OBSEA/2023-09-08.out,7
184,OBSEA/2022-04-29.out,0
185,OBSEA/2023-05-07.out,3
186,OBSEA/2023-03-16.out,0
187,OBSEA/2022-08-15.out,0
188,OBSEA/2023-09-30.out,0
189,OBSEA/2023-01-04.out,0
190,OBSEA/2022-09-03.out,7
191,OBSEA/2022-04-20.out,3
192,OBSEA/2022-03-16.out,3
193,OBSEA/2022-07-22.out,0
194,OBSEA/2023-09-11.out,7
195,OBSEA/2023-10-07.out,0
196,OBSEA/2023-06-08.out,5
197,OBSEA/2023-11-04.out,0
198,OBSEA/2023-03-21.out,5
199,OBSEA/2023-09-12.out,7
200,OBSEA/2023-08-26.out,7
201,OBSEA/2022-09-19.out,7
202,OBSEA/2023-06-26.out,3
203,OBSEA/2023-09-16.out,7
204,OBSEA/2023-07-14.out,0
205,OBSEA/2022-02-22.out,0
206,OBSEA/2022-10-05.out,7
207,OBSEA/2022-10-12.out,4
208,OBSEA/2023-05-11.out,3
209,OBSEA/2023-09-28.out,7
210,OBSEA/2023-09-25.out,7
211,OBSEA/2022-07-14.out,7
212,OBSEA/2022-08-10.out,7
213,OBSEA/2023-05-05.out,3
214,OBSEA/2023-09-29.out,7
215,OBSEA/2022-05-21.out,0
216,OBSEA/2022-02-16.out,0
217,OBSEA/2022-05-05.out,5
218,OBSEA/2023-05-23.out,3
219,OBSEA/2022-08-13.out,0
220,OBSEA/2022-09-29.out,0
221,OBSEA/2023-01-16.out,3
222,OBSEA/2022-02-07.out,0
223,OBSEA/2022-09-08.out,7
224,OBSEA/2023-01-22.out,5
225,OBSEA/2022-10-01.out,7
226,OBSEA/2023-03-18.out,0
227,OBSEA/2022-08-20.out,7
228,OBSEA/2022-12-25.out,0
229,OBSEA/2023-02-21.out,3
230,OBSEA/2022-03-05.out,0
231,OBSEA/2023-03-10.out,0
232,OBSEA/2023-04-22.out,0
233,OBSEA/2023-09-18.out,7
234,OBSEA/2023-10-30.out,0
235,OBSEA/2023-02-19.out,3
236,OBSEA/2022-05-07.out,0
237,OBSEA/2022-01-20.out,4
238,OBSEA/2023-09-24.out,7
239,OBSEA/2023-05-16.out,4
240,OBSEA/2023-08-14.out,7
241,OBSEA/2022-04-26.out,3
242,OBSEA/2022-04-12.out,3
243,OBSEA/2022-02-19.out,0
244,OBSEA/2022-01-04.out,4
245,OBSEA/2022-12-15.out,0
246,OBSEA/2023-01-29.out,0
247,OBSEA/2023-10-03.out,7
248,OBSEA/2022-01-06.out,4
249,OBSEA/2023-08-30.out,7
250,OBSEA/2022-10-16.out,0
251,OBSEA/2023-07-06.out,0
252,OBSEA/2022-01-25.out,4
253,OBSEA/2022-12-30.out,0
254,OBSEA/2023-06-07.out,5
255,OBSEA/2023-02-01.out,0
256,OBSEA/2023-07-23.out,7
257,OBSEA/2023-07-18.out,7
258,OBSEA/2023-08-20.out,7
259,OBSEA/2022-05-11.out,0
260,OBSEA/2022-01-23.out,4
261,OBSEA/2022-03-10.out,0
262,OBSEA/2023-05-27.out,3
263,OBSEA/2023-05-01.out,3
264,OBSEA/2022-08-07.out,0
265,OBSEA/2022-05-08.out,0
266,OBSEA/2022-03-22.out,3
267,OBSEA/2022-02-26.out,0
268,OBSEA/2023-06-12.out,5
269,OBSEA/2022-01-12.out,4
270,OBSEA/2022-02-14.out,0
271,OBSEA/2023-02-18.out,3
272,OBSEA/2022-05-06.out,0
273,OBSEA/2023-07-09.out,4
274,OBSEA/2022-04-13.out,3
275,OBSEA/2022-07-29.out,7
276,OBSEA/2023-08-12.out,7
277,OBSEA/2022-10-17.out,0
278,OBSEA/2022-07-08.out,0
279,OBSEA/2022-03-28.out,3
280,OBSEA/2022-10-10.out,7
281,OBSEA/2023-09-20.out,0
282,OBSEA/2022-07-31.out,7
283,OBSEA/2022-09-15.out,7
284,OBSEA/2022-09-05.out,7
285,OBSEA/2022-09-17.out,7
286,OBSEA/2023-08-19.out,7
287,OBSEA/2022-10-19.out,0
288,OBSEA/2023-03-12.out,0
289,OBSEA/2023-07-11.out,7
290,OBSEA/2022-07-30.out,7
291,OBSEA/2023-04-14.out,0
292,OBSEA/2022-07-04.out,4
293,OBSEA/2023-04-12.out,0
294,OBSEA/2023-01-25.out,0
295,OBSEA/2023-08-24.out,7
296,OBSEA/2023-08-11.out,7
297,OBSEA/2022-06-02.out,3
298,OBSEA/2023-07-05.out,4
299,OBSEA/2023-08-05.out,7
300,OBSEA/2023-07-21.out,7
301,OBSEA/2023-04-30.out,3
302,OBSEA/2022-07-23.out,0
303,OBSEA/2022-03-20.out,3
304,OBSEA/2023-09-19.out,0
305,OBSEA/2022-03-03.out,0
306,OBSEA/2022-08-16.out,7
307,OBSEA/2022-09-28.out,0
308,OBSEA/2022-07-07.out,0
309,OBSEA/2022-05-04.out,0
310,OBSEA/2023-09-07.out,7
311,OBSEA/2022-02-05.out,0
312,OBSEA/2023-03-08.out,0
