,PCA
Daphnet/S01R02E0.test.csv@6.out,0.166255607190649
Daphnet/S03R03E4.test.csv@6.out,0.050387600333431745
Daphnet/S03R02E0.test.csv@4.out,0.5230627712290697
Daphnet/S03R01E1.test.csv@8.out,0.47769802824423624
Daphnet/S09R01E2.test.csv@8.out,0.3990258239550634
Daphnet/S03R02E0.test.csv@6.out,0.5214381494028791
Daphnet/S03R02E0.test.csv@7.out,0.5153257685977454
Daphnet/S03R03E4.test.csv@4.out,0.06721775222361187
Daphnet/S01R02E0.test.csv@4.out,0.04843300781893907
Daphnet/S03R02E0.test.csv@3.out,0.4139501016038119
Daphnet/S03R02E0.test.csv@2.out,0.481617575880685
Daphnet/S03R03E4.test.csv@1.out,0.20549558547349803
Daphnet/S03R01E0.test.csv@8.out,0.35445918806053023
Daphnet/S01R02E0.test.csv@1.out,0.04078719604230569
Daphnet/S03R03E4.test.csv@3.out,0.05315414578148608
Daphnet/S03R02E0.test.csv@1.out,0.5260598130466031
Daphnet/S03R03E4.test.csv@2.out,0.11149608499544056
Daphnet/S09R01E0.test.csv@8.out,0.02903790855538638
Daphnet/S09R01E0.test.csv@9.out,0.030004626388367636
Daphnet/S06R01E2.test.csv@5.out,0.0018492074221317185
Daphnet/S09R01E0.test.csv@7.out,0.02776740648182442
Daphnet/S09R01E0.test.csv@6.out,0.04881805508903647
Daphnet/S09R01E0.test.csv@4.out,0.05117730035463663
Daphnet/S09R01E0.test.csv@5.out,0.03127003298082181
Daphnet/S08R01E0.test.csv@4.out,0.12266947906274793
Daphnet/S09R01E0.test.csv@1.out,0.07431173624834848
Daphnet/S09R01E0.test.csv@2.out,0.06299549883574769
Daphnet/S03R01E1.test.csv@2.out,0.4528624772592178
Daphnet/S03R01E0.test.csv@6.out,0.34878898790692575
Daphnet/S09R01E4.test.csv@4.out,0.06721775222361187
Daphnet/S02R01E0.test.csv@6.out,0.19787734241265637
Daphnet/S03R01E1.test.csv@1.out,0.4227054792431991
Daphnet/S02R01E0.test.csv@4.out,0.3528432972679158
Daphnet/S09R01E4.test.csv@6.out,0.050387600333431745
Daphnet/S03R01E0.test.csv@4.out,0.2487863279992683
Daphnet/S03R01E1.test.csv@4.out,0.4259188536979773
Daphnet/S09R01E2.test.csv@4.out,0.3401002235245802
Daphnet/S09R01E4.test.csv@3.out,0.05315414578148608
Daphnet/S09R01E4.test.csv@2.out,0.11149608499544056
Daphnet/S03R01E1.test.csv@7.out,0.4401496909601569
Daphnet/S03R01E0.test.csv@3.out,0.3201489790150859
Daphnet/S03R02E0.test.csv@9.out,0.35381924686783056
