,TRUE_ORACLE-100
Daphnet/S01R02E0.test.csv@1.out,0.8957194756250267
Daphnet/S01R02E0.test.csv@4.out,0.9055738341318798
Daphnet/S01R02E0.test.csv@6.out,0.8943696857468656
Daphnet/S02R01E0.test.csv@3.out,0.8927333932216096
Daphnet/S02R01E0.test.csv@4.out,0.7708184096885522
Daphnet/S02R01E0.test.csv@6.out,0.8976889333674467
Daphnet/S03R01E0.test.csv@3.out,0.8424974237628646
Daphnet/S03R01E0.test.csv@4.out,0.8322147782358079
Daphnet/S03R01E0.test.csv@6.out,0.8166493085656801
Daphnet/S03R01E0.test.csv@8.out,0.8255442240692807
Daphnet/S03R01E1.test.csv@1.out,0.8055824260056237
Daphnet/S03R01E1.test.csv@2.out,0.7861229334576347
Daphnet/S03R01E1.test.csv@4.out,0.8356640988677628
Daphnet/S03R01E1.test.csv@7.out,0.8441046792855006
Daphnet/S03R01E1.test.csv@8.out,0.814713711866617
Daphnet/S03R02E0.test.csv@1.out,0.90555584990361
Daphnet/S03R02E0.test.csv@2.out,0.8789021010574388
Daphnet/S03R02E0.test.csv@3.out,0.8768034530573263
Daphnet/S03R02E0.test.csv@4.out,0.8920210857822947
Daphnet/S03R02E0.test.csv@6.out,0.899576347735744
Daphnet/S03R02E0.test.csv@7.out,0.9326055867863322
Daphnet/S03R02E0.test.csv@8.out,0.9061915570455816
Daphnet/S03R02E0.test.csv@9.out,0.8827211693930473
Daphnet/S03R03E4.test.csv@1.out,0.8918517053619038
Daphnet/S03R03E4.test.csv@2.out,0.8818385013364892
Daphnet/S03R03E4.test.csv@3.out,0.9130834562988098
Daphnet/S03R03E4.test.csv@4.out,0.851462067297031
Daphnet/S03R03E4.test.csv@6.out,0.8936926523007629
Daphnet/S06R01E2.test.csv@5.out,0.6560166853518656
Daphnet/S08R01E0.test.csv@4.out,0.8180641011952926
Daphnet/S09R01E0.test.csv@1.out,0.8806822974014298
Daphnet/S09R01E0.test.csv@2.out,0.8469132348354397
Daphnet/S09R01E0.test.csv@4.out,0.8655430829567902
Daphnet/S09R01E0.test.csv@5.out,0.8369362269583014
Daphnet/S09R01E0.test.csv@6.out,0.8495880780402555
Daphnet/S09R01E0.test.csv@7.out,0.8142831076482715
Daphnet/S09R01E0.test.csv@8.out,0.8464809160191453
Daphnet/S09R01E0.test.csv@9.out,0.8603037607273916
Daphnet/S09R01E2.test.csv@4.out,0.923218207329604
Daphnet/S09R01E2.test.csv@8.out,0.924908753680086
Daphnet/S09R01E4.test.csv@1.out,0.8918517053619038
Daphnet/S09R01E4.test.csv@2.out,0.8818385013364892
Daphnet/S09R01E4.test.csv@3.out,0.9130834562988098
Daphnet/S09R01E4.test.csv@4.out,0.851462067297031
Daphnet/S09R01E4.test.csv@6.out,0.8936926523007629
Dodgers/101-freeway-traffic.test.out,0.7204651634591148
ECG/MBA_ECG14046_data_0.out,0.9837035321815892
ECG/MBA_ECG14046_data_1.out,0.8599414628258484
ECG/MBA_ECG14046_data_10.out,0.9942417206691726
ECG/MBA_ECG14046_data_11.out,0.9880295324928848
ECG/MBA_ECG14046_data_12.out,0.9666513800166168
ECG/MBA_ECG14046_data_13.out,0.9909869418966718
ECG/MBA_ECG14046_data_14.out,0.9908739076148378
ECG/MBA_ECG14046_data_15.out,0.978455444841576
ECG/MBA_ECG14046_data_16.out,0.9895563825854652
ECG/MBA_ECG14046_data_17.out,0.9869615085135952
ECG/MBA_ECG14046_data_18.out,0.8812371523563726
ECG/MBA_ECG14046_data_19.out,0.992449370799858
ECG/MBA_ECG14046_data_2.out,0.9852976232058224
ECG/MBA_ECG14046_data_20.out,0.990937115722032
ECG/MBA_ECG14046_data_21.out,0.9952158375080294
ECG/MBA_ECG14046_data_22.out,0.9708369121058052
ECG/MBA_ECG14046_data_23.out,0.9802242934673718
ECG/MBA_ECG14046_data_24.out,0.9944681754193346
ECG/MBA_ECG14046_data_25.out,0.9719234115721062
ECG/MBA_ECG14046_data_26.out,0.9851301358868828
ECG/MBA_ECG14046_data_27.out,0.9885625452828776
ECG/MBA_ECG14046_data_28.out,0.9936890552657238
ECG/MBA_ECG14046_data_29.out,0.9959758408703904
ECG/MBA_ECG14046_data_3.out,0.9550781082779978
ECG/MBA_ECG14046_data_30.out,0.9928837845700258
ECG/MBA_ECG14046_data_31.out,0.9779381600211572
ECG/MBA_ECG14046_data_32.out,0.9895312739967912
ECG/MBA_ECG14046_data_33.out,0.9808101800893037
ECG/MBA_ECG14046_data_34.out,0.9599057860978288
